"Compound.Name","RT","X1_B_2","X1_B_3","X1_B_4","X1_C_1","X1_C_2","X1_C_3","X10_B_2","X10_B_3","X10_B_4","X10_C_1","X10_C_2","X10_C_3","X14_B_2","X14_B_3","X14_B_4","X14_C_1","X14_C_2","X14_C_3","X15_B_2","X15_B_3","X15_B_4","X15_C_1","X15_C_2","X15_C_3","X16_B_2","X16_B_4","X16_C_1","X16_C_2","X16_C_3","X17_B_2","X17_B_3","X17_B_4","X17_C_1","X17_C_2","X17_C_3","X18_B_2","X18_B_3","X18_B_4","X18_C_1","X18_C_2","X18_C_3","X19_B_2","X19_B_3","X19_B_4","X19_C_1","X19_C_2","X19_C_3","X20_B_2","X20_B_3","X20_B_4","X20_C_1","X20_C_2","X20_C_3","X9_B_2","X9_B_3","X9_B_4","X9_C_1","X9_C_2","X9_C_3","blank03","blank02","blank04","blank01","QC01","QC02","QC03","QC04","QC05","QC06","QC07","QC08","QC09","QC10","QC11","QC12","QC13"
"DG 34:1'DG'[M+Na]+",4.87,45295.11194,139590.4713,31235.60587,27477.78803,78808.27784,54898.16978,56549.42548,45985.9392,127080.9975,62835.34788,100109.8748,69187.89839,33827.26976,80683.97913,96675.56897,25954.63946,94084.61591,38128.90615,27434.0157,22152.41245,33659.58339,19486.67143,47517.36597,65790.46139,89234.98533,25526.47961,50852.06845,28175.56055,38819.60939,60312.67245,20518.60836,38334.82105,76067.17068,81855.13732,38788.89794,47432.8912,24760.94212,40261.40895,75023.73757,33786.81344,21519.32281,47770.66204,38903.16206,26443.11436,57378.55585,62777.61569,60648.70201,37020.8783,74031.94991,54103.23596,26762.17763,35892.57115,38496.69199,27986.90327,31161.78649,45353.99113,50431.16092,74437.20278,28440.45131,NA,NA,NA,NA,100431.4415,110308.2782,96658.90416,79183.42512,77506.68393,69062.33783,55495.44623,42387.62415,40504.03153,34424.3721,28376.99458,21251.7609,22584.19868
"DG 36:5'DG'[M+Na]+",9.35,142588.8177,132628.5698,99570.65939,113831.6402,129161.9074,125734.4562,129743.8572,123450.3721,136025.0912,143081.0351,129986.2358,134793.6862,180783.3108,184843.4519,179110.866,119355.2361,81397.79492,164055.8728,151132.5319,135896.29,161288.4731,125652.1884,116988.7496,143756.8315,95590.37358,167694.1087,131205.7012,144911.4579,172350.1175,98587.84869,124995.368,121706.8494,93204.14594,145063.4031,114432.7998,142701.3764,130236.1208,164033.9035,159798.5009,164733.3599,175158.9125,130263.8263,137678.3269,107700.0692,95494.24745,135841.4,138520.4654,129321.7106,135492.1229,136763.6709,167446.8394,148240.7963,134406.567,128191.1663,137612.6587,139703.2535,129752.3363,120662.2927,127758.975,NA,NA,NA,NA,147915.641,144063.9516,147964.5931,138149.1325,129231.3791,129576.2364,122962.4059,131672.4993,132580.4156,130974.7957,129887.4133,125581.491,113372.2371
"DG 36:3'DG'[M+Na]+",4.72,161187.5651,220321.8502,117667.9173,141000.2487,149515.4808,160374.9581,118268.4676,163102.501,213809.5672,92842.50347,104296.4483,93519.25907,146696.1254,198897.7118,226801.4274,137695.0411,182767.3837,181213.3309,115755.3119,146698.989,176157.9343,93339.44285,158148.7323,160751.8352,249136.0655,236304.7799,137681.1539,139993.8343,175995.4083,129887.7307,132620.0488,178192.6255,133119.4986,166761.657,139950.06,138888.461,130000.5175,156353.9422,149572.0687,171316.8575,133809.9517,157073.2956,214275.138,144107.3343,140382.163,172720.9236,132191.8038,107391.9147,165858.4503,142710.657,97754.29209,111452.0757,119437.8643,116089.2194,243521.0663,167738.5907,110622.4879,132153.9706,101299.2902,NA,NA,NA,NA,181851.0364,181175.2604,178162.6562,169447.6009,162131.2384,147775.1447,155423.8358,153229.1821,152083.2788,146580.2672,144179.9877,129504.5778,118996.1895
"Cer 42:4;3O|Cer 18:2;2O/24:2;O'Cer_HS'[M+H-H2O]+",8.1,420917.2222,385321.1332,323266.2905,250583.6517,406005.5943,322855.7996,236494.0946,287990.837,366928.0531,235898.7786,247669.6667,309214.0556,431832.2199,510036.0735,402836.1018,398356.6962,502611.4524,445201.9675,367180.727,383996.5052,330067.3569,307176.1447,256819.4881,257910.2882,638830.6712,313980.0975,194881.6092,164214.9213,207410.758,427869.3863,348656.0713,358664.2989,395576.1874,328954.8585,333726.4766,272522.5042,200697.5509,285678.0626,223885.4949,193327.4354,231522.9859,290256.0959,278932.2153,223437.1327,211610.6686,336154.7162,343157.3,174157.1872,331639.406,308894.5726,282008.0412,319029.1638,272580.8946,224308.4855,369714.32,372524.1679,309505.4615,327641.4552,261943.593,NA,NA,NA,NA,400126.6121,401981.6359,377739.5521,352588.6757,357089.5747,354239.2547,307980.6903,326539.7917,316823.2614,316916.5547,325581.8095,314706.6426,295984.1031
"SM 30:1;2O'SM'[M+H]+",3.75,48164.48969,34643.67147,30816.54336,36003.7542,42859.56238,32463.10633,37404.48181,34461.70335,51022.40916,30949.28973,37272.29046,58958.39893,32127.89028,38907.91276,25855.70102,36532.58022,32121.55562,33913.10566,32948.48879,34319.98047,24495.58087,24988.39874,27834.97806,28510.47151,40245.5326,34504.81409,25790.14464,32639.79404,39707.34707,35105.94222,32180.51195,32977.04056,32002.40064,25201.80618,26612.29419,39009.36467,22453.84663,31374.10148,27561.39852,28477.94251,27912.03686,23059.84262,21690.31893,19990.62339,23765.20808,28453.73536,28299.41235,22035.2085,32614.06858,34185.28268,33598.92396,31655.02583,31974.9609,27377.76598,35963.0433,58579.11427,45314.68924,56941.82793,30080.23928,NA,NA,NA,NA,42274.44485,40339.52159,37689.49973,37989.52486,36808.79364,35140.03128,33974.8552,33168.18585,32609.88364,31252.12644,32480.42285,30234.74514,33090.48667
"Cer 42:1;2O|Cer 18:1;2O/24:0'Cer_NS'[M+H]+",9.17,100636.132,89371.19068,72846.67363,88791.44412,101892.5265,89324.95517,93730.49768,115347.4663,136330.39,112422.9865,92756.79865,107340.2305,90844.5065,90529.65883,96402.4385,96383.31138,171943.7875,83619.79184,115189.731,101661.5039,108273.6697,100343.1088,84915.8195,106514.3908,71952.63655,98019.57051,70810.31685,82959.60652,99075.93217,50891.27216,64803.75682,85410.34837,61618.26843,86494.88809,65091.11759,104414.6409,63120.93642,77140.0828,95214.55498,99396.35368,93911.48322,81393.93782,87365.94483,80683.43346,70036.31734,89694.18002,89462.99643,59865.2343,129087.8855,109053.9453,71880.3314,113666.2422,92060.16098,56135.28064,95897.90357,80919.06914,83998.5973,96420.87437,78224.81161,NA,NA,NA,NA,101173.3549,96361.05874,94233.68105,107486.7462,90834.9391,88679.69464,98353.06039,85501.73821,98089.3066,82691.59604,87889.12224,96893.20547,78367.60545
"SM 31:3;2O|SM 18:2;2O/13:1'SM'[M+H]+",4.72,89735.44134,130338.9176,79859.15631,87744.49925,87533.19552,106331.4358,81845.09119,109241.0258,130173.7134,67164.24207,72097.61261,58214.94102,84137.98941,107166.9282,139461.8217,85764.71633,110104.5765,112572.2912,74489.79444,87707.75656,112517.7597,60416.52871,103908.6006,103872.2888,151103.6491,142625.7831,95692.82159,93736.67971,100235.1094,92418.5567,95518.62252,125413.2513,81530.82471,112197.7496,94356.16488,84985.74696,81942.82686,105107.6207,99458.64626,107104.1865,82015.35622,100775.7826,135352.9114,98047.86513,93268.48028,100995.2018,84647.40692,85009.95744,113313.3172,105772.9826,70543.49894,81937.24781,94329.11138,82867.20675,147325.5654,92574.70239,60987.79815,72938.06294,66065.3896,NA,NA,NA,NA,106778.5499,108131.0367,108141.7865,106995.2578,103291.5477,95860.20426,98412.56444,98421.30496,95989.74254,96232.93228,95767.34431,84402.94317,77296.5883
"DG 38:5'DG'[M+Na]+",4.79,309545.3228,411365.7256,266361.8989,364068.6777,476340.4048,421062.7424,236590.4279,217240.3391,315739.1935,241408.0497,276504.1168,267042.2919,241372.0474,196504.4091,194189.4477,336485.1929,389304.8256,338596.2946,300558.2314,306148.8308,325350.3354,253350.713,303921.5668,356752.9631,438187.9866,324419.1538,372916.8161,335010.9278,366277.3458,310276.5115,267219.3223,310633.276,362558.7049,462716.8769,329671.7546,372988.1662,230488.6662,326067.4833,433419.6512,338383.3124,293866.7652,372662.3888,362430.4788,326915.7154,412608.3703,448118.274,371183.058,270875.4167,372397.5353,302389.556,272552.2222,300634.6774,320520.5665,314612.5707,244385.2189,347234.0664,328640.0498,216114.3407,227840.6176,NA,NA,NA,NA,449028.6133,269509.1787,430216.5684,407226.2247,381313.0672,344965.8158,351673.478,328535.933,315704.964,306434.8296,290442.402,263188.6011,243851.1112
"SM 32:1;2O|SM 18:1;2O/14:0'SM'[M+H]+",4.37,1399074.628,1258228.722,1193950.126,1003459.493,1189734.272,807437.6721,920931.1057,822619.8831,1193160.192,605362.4977,903194.0302,1779818.006,928156.4546,1120671.689,701575.3339,1663453.995,1517369.449,1219952.567,981208.0058,1128558.101,687584.6627,783370.3831,808087.7958,757819.5244,917157.9232,693652.1244,702494.7609,883414.1371,1148900.77,1081488.513,1035209.309,962038.1201,1284192.875,882253.509,974976.0311,1216427.852,788910.0502,930370.3858,820842.2808,899244.4391,914977.5523,827407.6592,703231.9914,685195.3843,1049951.093,1217224.939,1190320.57,658675.7361,1155985.618,1015891.686,981165.547,970802.0259,878527.0815,735174.6467,1204107.639,1795269.96,1370345.191,1819803.179,798237.6934,NA,NA,NA,NA,1200333.694,1177491.306,1159210.822,1103595.643,1071663.818,1063478.862,1044875.362,1013635.814,1009032.62,992379.0699,985685.1873,984137.0739,1044446.973
"PC 28:0'PC'[M+H]+",4.49,155785.1247,85096.85685,54993.61226,131412.8571,188727.775,126542.5438,177840.8085,157189.9912,231001.9961,175066.0103,159216.6027,240339.8951,382838.3644,386825.4273,279631.5726,95332.64357,71798.52886,84046.60347,268081.1226,239919.8064,212451.8714,264833.366,216434.7674,308788.9479,274983.6262,482017.0684,252183.3598,288361.1914,336802.6858,138091.9453,169097.6951,150067.617,104109.7681,132993.3767,92950.72083,161204.384,80119.78189,119863.8481,163952.3653,135037.4662,171183.1669,122902.5713,111646.4296,85286.01415,98413.10451,112098.0731,144809.7996,199220.9636,221357.757,168891.8256,296217.1997,223868.9679,206436.6417,170861.0213,112528.7876,280024.5508,277834.4435,276190.9881,207052.0035,NA,NA,NA,NA,214891.453,207782.7331,187130.6978,188617.9726,202200.6266,196078.1328,189391.6575,188700.4131,185586.1463,183620.947,183597.6795,185771.3852,189475.3144
