Compound Name,Formula,Mass,RT,CAS ID,Eva_pos_01,Eva_pos_02,Eva_pos_03,Eva_pos_04,Eva_pos_05,Eva_pos_06,Eva_pos_07,Eva_pos_08,Eva_pos_09,Eva_pos_10,Eva_pos_11,Eva_pos_12,Eva_pos_blank01,Eva_pos_blank02,Eva_pos_blank03,Eva_pos_QC00,Eva_pos_QC01,Eva_pos_QC02,Eva_pos_QC03,Eva_pos_QC04
w/o MS2:CAR 20:0_1_msd936_pos,,455.3942,2.49,,95817.48174,97313.44496,71395.86966,67966.74714,100104.9977,86018.70648,81099.85117,82343.83529,80367.01421,83751.10752,89441.05151,81144.50681,,,,115531.2328,83872.22075,93070.21249,87128.57779,87310.55706
w/o MS2:CAR 25:0_1_msd1287_pos,,525.4706,3.54,,98632.3994,30296.09324,97631.62946,24368.58937,91039.8463,21750.1604,84552.50418,23330.43136,124462.8191,23533.32566,81280.75816,27949.97817,,,,77803.83316,72263.57779,68886.27952,65583.92149,62467.94899
w/o MS2:CE 18:1(d7)(IS)_1_msd1226_pos,,674.6669,3.62,,46722.77679,61577.12994,18873.46249,19929.09266,149771.0851,40480.87285,798689.3196,94398.05506,20862.55615,173102.7952,33217.01219,24003.03377,41843.84472,97952.4577,,118696.5365,108715.3124,110842.2395,102751.9363,99726.53802
w/o MS2:Cer 12:2/7:0_1_msd445_pos,,325.2615,1.22,,341490.939,396680.4542,385782.1249,375279.4146,389183.7507,399216.1024,345840.7034,419454.4216,385010.5405,365917.996,372859.4273,365686.7986,621709.728,516833.2172,505561.0202,446459.7375,372629.2747,386820.9742,371435.6581,361916.9819
w/o MS2:Cer 8:0/14:1_1_msd777_pos,,369.3222,2.09,,109802.2263,59097.92528,116657.7151,59636.26542,104471.6126,61813.33593,96745.06455,65846.01438,142358.0367,58939.20294,122896.7379,68614.59341,,,,95565.31679,90313.48222,86875.73432,89938.7933,82440.59106
w/o MS2:Cer 8:0/16:2_1_msd912_pos,,395.3382,2.42,,83185.44016,46722.94968,90337.6197,49677.54573,83527.42342,49120.49896,72420.32947,48370.56277,100747.0576,46796.15977,93786.20654,49391.55671,,,,78422.05784,70151.89114,71617.65122,65216.21643,63424.64675
w/o MS2:Cer 8:0/16:2H)_1_msd469_pos,,427.3292,1.23,,214968.6163,250416.2649,260722.8634,245920.3669,260325.5817,260536.7356,237069.8949,261523.2713,255287.102,235008.2638,252109.6033,249242.3634,382412.3027,310563.5624,303830.3818,300970.2808,260339.2567,253867.2984,245202.9674,241218.4793
w/o MS2:Cer 8:0/25:0H)_1_msd1948_pos,,557.5005,6.06,,204897.2138,87010.08005,127965.1094,63743.56328,100434.3177,52494.63226,97563.13147,58454.35138,139101.4711,38751.52324,72448.80326,45894.86327,,,,84741.30339,77165.83592,89411.69354,85758.08027,84766.11317
w/o MS2:Cer 8:1/10:0_1_msd315_pos,,313.2605,1.02,,70467.02055,,86265.68389,,91135.95669,69365.25636,80550.89032,62695.84511,84923.31168,46541.02313,90707.43151,,16191.17598,49748.78898,46777.12642,93602.34257,81302.89276,70959.89079,62212.08121,70048.29395
w/o MS2:Cer 9:0/22:3_1_msd2736_pos,,491.4323,7.72,,74980.01772,94637.5237,71682.9187,91980.91792,88839.64104,75715.89818,83240.74669,89520.91101,96651.85066,84617.65109,80234.25723,58368.48606,131316.3984,100741.7206,82986.33334,68084.5944,55254.15839,94965.13465,85572.80416,81492.20858
w/o MS2:Cer 9:0/26:3_1_msd2579_pos,,547.4962,7.72,,2465040.657,2587571.53,2394929.707,2484602.207,2375614.03,2564293.403,2702186.271,2609033.875,2595110.177,2583773.37,2529148.671,2441311.605,4107089.767,3736083.284,3339759.006,2376705.17,2476075.326,2559299.601,2337720.378,2292334.852
w/o MS2:Cer 9:1/16:4_1_msd689_pos,,403.3073,1.68,,113573.8445,77775.1186,124236.7262,78584.94219,115808.6437,67142.57657,108491.3524,81522.82673,152119.2546,75280.27286,128694.0776,84660.4485,,,,126742.3682,110320.5482,104641.0049,100216.5718,96737.95394
w/o MS2:Cer 9:1/18:5_1_msd729_pos,,429.3235,1.93,,82904.18691,59377.57031,85428.34528,57158.2311,82909.81137,62460.57348,72851.70055,61104.46558,104801.9947,57124.19722,91771.50636,56106.52598,,,,84790.36708,74272.06723,74050.08025,74141.35942,68559.09685
w/o MS2:DG 27:2_1_msd363_pos,,516.3821,1.1,,107022.0872,109201.241,104580.0577,103246.3141,113357.5385,110759.4765,105535.5766,113146.3119,114243.5365,103837.2485,109966.463,105034.3013,157889.8719,135212.0264,131339.5189,130373.0357,79961.07625,110712.9019,116689.4057,108018.1804
w/o MS2:DG 29:3_1_msd297_pos,,542.392,0.98,,221176.7797,235231.854,220262.9026,216457.8395,206878,220233.923,207042.8138,220491.9132,225674.1194,208142.2264,219323.4518,208550.4784,277694.4309,251514.8154,241189.2109,255873.8805,199538.0448,208118.3007,215502.0366,225525.7458
w/o MS2:DG 31:0_1_msd1269_pos,,576.4721,3.85,,175735.8281,222402.4279,266579.2524,194063.2562,278561.8137,166905.0436,285766.9779,170336.1345,206339.0839,174805.8551,325692.7586,158340.7082,,,,329494.3278,296883.6657,330539.8086,341841.6961,351226.6859
w/o MS2:DG 31:3_1_msd2059_pos,,570.427,6.54,,87445.70245,81309.56135,99829.5019,88975.57225,103295.917,91308.47539,86777.09236,96293.71171,93816.59552,81866.53674,96000.38278,86387.90455,144390.733,95656.55186,112172.7188,94763.48244,78528.84267,70349.83172,89250.23799,91481.33576
w/o MS2:DG 32:0_1_msd2835_pos,,590.4845,8.84,,,54941.45958,85786.73746,56471.11825,,143067.5258,,60776.68554,115166.4602,87454.64628,,191380.1107,,,,47432.63716,47876.87835,57294.42831,,
w/o MS2:DG 34:1_1_msd2254_pos,,616.5031,7.19,,146582.484,238647.168,143672.1834,167610.976,114840.0074,83706.13244,140071.9851,162260.4976,171212.8738,28478.05174,141580.1124,45358.97105,,,,143578.4987,136198.2889,88430.68598,177153.36,193187.2396
w/o MS2:DG 36:1_1_msd2353_pos,,644.5347,7.84,,137390.0623,119777.113,99141.85327,117271.3622,118591.7901,109044.6356,107752.8352,132514.9055,114415.6052,118340.0903,116084.7996,117693.9719,,,,104287.6873,88321.03148,114795.967,112234.2865,111350.8388
w/o MS2:DG 38:4_1_msd2784_pos,,666.5189,7.51,,251679.5484,148442.2609,168346.4348,151032.6676,231794.8864,157302.2462,190458.8356,176923.3754,205791.9371,170478.2344,201082.0846,184771.4071,,,,177838.8982,169508.9128,175073.7708,172451.2993,170631.2831
w/o MS2:DG 40:2_1_msd2818_pos,,698.5869,8.72,,96925.99943,117009.9694,91254.9179,121459.2484,89037.10823,130606.4341,120559.904,104064.1891,69044.6688,121773.172,100798.3384,92741.91199,133306.8679,102516.7789,96724.0862,116499.8252,110163.0632,106347.223,110338.3144,102343.313
