adduct,weight,charge
[M+H]+,1.007276,1
[M-H]-,-1.007276,1
[M+Na]+,22.989218,1
[M+Cl]-,34.969402,1
[M+H-H2O]+,-17.002724,1
[M+2H]2+,1.007276,0.5
[M-H-H2O]-,-19.017276,1
[2M+H]+,1.007276,2
[M+H-NH3]+,-16.019274,1
[M+H-2H2O]+,37.027276,1
[2M-H]-,-1.007276,2
[M+NH4]+,18.033823,1
[M-2H]2+,-1.007276,0.5
[M+K]+,38.96321,1
[M+HCOOH-H]-,46.00548,1
