RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.23,177.3,295.22713,12(13)-EpOME,C18H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",10212,12(13)-EpOME_295.227_1.23_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Bruker MetaboBASE Personal Library 3.0,20.1,520,-2.625,6317,0,3027,2968,3515,0,8799,8072,8686,21725,6207,8745.8,6724,16376,11200,0,8967,5679,5983,14747,0,0,9806
0.68,216.1,546.21084,".beta.-D-Glucopyranosiduronic acid, 6-[3-(1-naphthalenylcarbonyl)-1H-indol-1-yl]hexyl",C31H33NO8,Spectral Library - Nist17_high_merged.msp,10210,".beta.-D-Glucopyranosiduronic acid, 6-[3-(1-naphthalenylcarbonyl)-1H-indol-1-yl]hexyl_546.211_0.68_[M-H]-_low",[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,17.4,646.2,-4.575,0,0,0,0,950,915,31818,30270,30676,0,1105,45071,43893,47297,0,31364,40944,45481,47740,0,0,0,30926
3,301.1,862.59626,"1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",C48H84NO7P,Spectral Library - Nist17_high_merged.msp,20110,"1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine_862.596_3_[M+HCOOH-H]-_low",[M+HCOOH-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,107.4,625.8,-0.735,0,0,0,0,0,0,97152,92802,100570,98446,101062,108952,112175,104205,104085,98049,100977,97335,130068,104846,107518,81822,94293
1.12,182.6,319.2271,11(S)-HETE,C20H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",10212,11(S)-HETE_319.227_1.12_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Bruker MetaboBASE Personal Library 3.0,19.3,671,-2.564,0,1841,3218,0,0,0,9783,11177,10110,11373,9729,16391.6,12118,12974,20611,11456,30603,11108,15155,12201,10935,11578,12949
1.33,179,299.25844,12-Hydroxyoctadecanoic acid,C18H36O3,Spectral Library - MoNA,10220,12-Hydroxyoctadecanoic acid_299.258_1.33_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MoNA,16.9,896.6,-2.442,29970,27742,23188,25160,34441,23713,26749,25639,28699,35349,33047,34520.8,38717,32158,42641,30869,41626,25217,34886,29177,37359,34162,31567
2.34,286,793.50357,1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phospho-(1'-rac-glycerol),C44H75O10P,Spectral Library - Nist17_high_merged.msp,20120,1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phospho-(1'-rac-glycerol)_793.504_2.34_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,68,907.9,1.069,0,0,0,0,0,0,377964,404427,411617,417476,327491,495408.8,495096,573678,266654,415315,445564,371998,590708,314670,396889,0,400276
3.16,260.9,673.48041,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphate,C37H71O8P,Spectral Library - Nist17_high_merged.msp,20120,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphate_673.48_3.16_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,103.6,932.2,-1.231,0,0,0,0,0,0,106319,123284,105610,118613,99771,92747.2,79405,82289,169572,86520,136786,60973,104283,0,138070,122900,104076
2.71,287,810.52852,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,C44H78NO10P,Spectral Library - Nist17_high_merged.msp,20210,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine_810.529_2.71_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,35.8,560.8,-0.863,27603,23222,21162,24893,0,25685,0,312918,319234,0,297185,279165.4,284286,330365,0,0,289683,245541,245952,291902,332424,281987,291337
2.87,288.2,810.52992,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,C44H78NO10P,Spectral Library - Nist17_high_merged.msp,20210,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine_810.53_2.87_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,26.5,527.3,0.599,0,0,0,0,0,0,1451759,1220661,1289142,1342631,1064647,1067256.8,1157375,1119841,1157493,1262053,1055251,1011702,992115,1082403,1236109,1167881,1156197
3.61,294.7,806.59349,1-Stearoyl-2-palmitoyl-sn-glycero-3-phosphocholine,C42H84NO8P,Spectral Library - Nist17_high_merged.msp,10210,1-Stearoyl-2-palmitoyl-sn-glycero-3-phosphocholine_806.593_3.61_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,12.3,692.8,2.401,17265,12031,12598,1334,1230,1067,1549167,1540689,1648972,1371955,1528490,1728176,1615243,1578737,1311318,1514668,1610125,1873467,1963308,1452930,1363949,1475118,1659114
1.37,256,638.3657,2-(5-Oxovaleryl)phosphatidylcholine,C29H56NO9P,Spectral Library - Nist17_high_merged.msp,10220,2-(5-Oxovaleryl)phosphatidylcholine_638.366_1.37_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,6.3,887.3,-2.857,0,0,0,0,0,0,9010,10118,11564,14128,9186,9629,8684,7642,11337,16143,0,17676,14143,9455,7899,18116,14687
1.09,162.7,250.14425,"2,6-Di-tert-butyl-4-nitrophenol",C14H21NO3,Spectral Library - MoNA,10010,"2,6-Di-tert-butyl-4-nitrophenol_250.144_1.09_[M-H]-_low",[M-H]-,Spectral Library,0,0,low,MoNA,?,552.6,-2.479,14326,11430,12117,11871,13028,13747,8243,9069,8435,13868,15103,12090.2,15193,11221,0,9873,9857,11247,12933,11714,13946,12474,9456
1.21,161.8,250.14447,"2,6-Di-tert-butyl-4-nitrophenol",C14H21NO3,Spectral Library - MoNA,20210,"2,6-Di-tert-butyl-4-nitrophenol_250.144_1.21_[M-H]-_low",[M-H]-,Spectral Library,2,2,low,MoNA,21.2,534.7,-1.588,46405,32701,23830,31012,38369,31963,17416,17270,16095,45127,34361,26775.4,34017,26196,28000,20933,30524,14301,28839,23879,36312,31413,22756
3.55,291.4,816.57637,2-amino-3-({hydroxy[2-(icosanoyloxy)-3-[octadec-11-enoyloxy]propoxy]phosphoryl}oxy)propanoic acid,C44H84NO10P,Spectral Library - MoNA,20211,2-amino-3-({hydroxy[2-(icosanoyloxy)-3-[octadec-11-enoyloxy]propoxy]phosphoryl}oxy)propanoic acid_816.576_3.55_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MoNA,28,599.1,0.574,0,0,0,0,0,0,839791,838527,798219,784593,784336,763030,845401,914658,615475,817884,843700,631635,579756,715577,750890,686117,779743
3,288.2,812.54534,2-amino-3-({hydroxy[2-[icosa-5.8.11-trienoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid,C44H80NO10P,Spectral Library - MoNA,20211,2-amino-3-({hydroxy[2-[icosa-5.8.11-trienoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid_812.545_3_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MoNA,32.1,635.7,0.645,0,0,0,0,0,0,1318847,1390904,1568401,1260063,1360486,1336199.8,1412906,1500454,1289392,1339307,1238563,1242326,1286750,1227927,1318659,1191754,1338070
0.76,152.4,223.07587,"2-Hydroxy-10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-one",C15H12O2,Spectral Library - Nist17_high_merged.msp,10210,"2-Hydroxy-10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-one_223.076_0.76_[M-H]-_low",[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,32.5,541.9,-2.345,9882,10923,9392,9471,10210,7559,9873,8814,11003,11180,7911,9584.8,9514,9896,9957,9192,11092,6985,10437,10679,12469,9143,11561
1.1,171.8,271.22707,2-hydroxyhexadecanoic acid,C16H32O3,Spectral Library - Bruker MetaboBASE Personal Library 3.0,10212,2-hydroxyhexadecanoic acid_271.227_1.1_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Bruker MetaboBASE Personal Library 3.0,28.9,595.9,-2.957,19107,20056,18556,18856,19334,20939,24275,24625,27542,43762,29311,31470.8,30606,33694,44583,29364,41515,20676,30863,35834,48475,36699,28412
1.86,172.6,271.22717,2-hydroxyhexadecanoic acid,C16H32O3,Spectral Library - Bruker MetaboBASE Personal Library 3.0,10222,2-hydroxyhexadecanoic acid_271.227_1.86_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,Bruker MetaboBASE Personal Library 3.0,12.8,894.4,-2.679,22373,14525,16360,17393,24584,21738,27058,26017,30305,22801,22330,26832.6,27987,17056,59125,26620,53406,14919,20795,23262,22075,17905,26982
1.93,172.5,271.22728,2-hydroxyhexadecanoic acid,C16H32O3,Spectral Library - Bruker MetaboBASE Personal Library 3.0,10222,2-hydroxyhexadecanoic acid_271.227_1.93_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,Bruker MetaboBASE Personal Library 3.0,46.2,898.3,-2.317,15691,12535,14890,15225,21754,20266,29938,33967,30270,25588,23443,31992.6,28330,21697,91517,35360,89572,20364,0,27044,0,26002,40306
2.86,279.1,760.51519,2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphoserine,C40H76NO10P,Spectral Library - Nist17_high_merged.msp,10220,2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphoserine_760.515_2.86_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,12.6,919.7,2.288,0,0,0,0,0,0,3150408,2538990,2812927,2585541,2587352,2191066.8,1864614,2480723,2490266,2690080,2393014,2359477,1857506,2600769,2490406,2936696,2599344
3.96,279.4,760.51416,2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphoserine,C40H76NO10P,Spectral Library - Nist17_high_merged.msp,20110,2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphoserine_760.514_3.96_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,196.2,572.3,0.513,0,0,0,0,0,0,9860,10734,0,9808,10871,11688.4,13789,10746,0,11423,14286,9127,10494,11948,14369,12525,11411
3.3,285,788.54448,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,C42H80NO10P,Spectral Library - Nist17_high_merged.msp,20110,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine_788.544_3.3_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,78.3,680.7,-0.578,0,0,0,0,0,0,339102,0,513602,1147223,404036,432159.2,420754,394183,0,320259,524264,478274,343321,491968,279743,348891,478606
3.54,285.3,788.54385,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,C42H80NO10P,Spectral Library - Nist17_high_merged.msp,20120,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine_788.544_3.54_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,80.4,939.7,-1.083,0,0,0,0,0,0,97724,0,106846,100263,0,49341.8,0,0,0,105731,113616,86813,46280,0,88689,93478,101463
3.94,285.5,788.54391,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,C42H80NO10P,Spectral Library - Nist17_high_merged.msp,20120,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine_788.544_3.94_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,52.5,725.5,-0.402,1571,1655,1820,1899,1584,1937,46464,49808,54478,46816,44417,42027.2,47000,62211,33976,51575,61774,39151,0,41498,48524,0,0
4.12,285.5,788.5433,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,C42H80NO10P,Spectral Library - Nist17_high_merged.msp,10120,2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine_788.543_4.12_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,80.2,846.3,-2.258,0,316,0,427,387,0,27498,26331,25159,30103,24581,31367.8,36470,40590,23166,0,31286,25964,22529,29369,32071,34980,32667
1.1,175.5,297.24288,3-Oxostearic acid,C18H34O3,Spectral Library - Nist17_high_merged.msp,10210,3-Oxostearic acid_297.243_1.1_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,Nist17_high_merged.msp,27.3,663.3,-2.134,42366,27236,23418,20188,21318,21386,20771,19229,20325,29508,28119,23924.6,29842,18637,27741,21203,26985,17745,26414,18826,24782,38574,18063
1.46,177.7,297.24265,3-Oxostearic acid,C18H34O3,Spectral Library - Nist17_high_merged.msp,10220,3-Oxostearic acid_297.243_1.46_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,41,956.4,-2.842,37195,32825,28824,31117,30809,29166,25728,27134,28518,36303,27849,25802.6,29409,27083,29436,23813,21623,24031,26867,27841,34728,28903,28368
1.78,179.5,297.24306,3-Oxostearic acid,C18H34O3,Spectral Library - Nist17_high_merged.msp,20220,3-Oxostearic acid_297.243_1.78_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,Nist17_high_merged.msp,27.8,719.9,-1.885,10872,8900,7832,8858,9907,8892,22834,22855,24730,20590,16012,21959.6,0,14220,75417,25152,74264,8953,12361,0,19662,0,24998
1.6,184.3,299.201,"5,8,11-EICOSATRIYNOIC ACID",C20H28O2,Spectral Library - Nist17_high_merged.msp,10220,"5,8,11-EICOSATRIYNOIC ACID_299.201_1.6_[M-H]-_low",[M-H]-,Spectral Library,2,2,low,Nist17_high_merged.msp,21.7,894.4,-2.17,3444,4033,4062,3745,3863,2820,10479,8702,9789,14136,13600,12021.8,9258,17229,19090,9593,9136,8487,15999,11648,13103,12739,10515
1.92,247.3,583.255,bilirubin,C33H36N4O6,Spectral Library - Bruker MetaboBASE Personal Library 3.0,20220,bilirubin_583.255_1.92_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,Bruker MetaboBASE Personal Library 3.0,32.2,986.6,-1.627,0,0,0,0,0,0,82465,75718,83597,175227,68986,55710.2,42048,127280,75616,90460,53076,15650,40497,83380,152315,31303,86062
0.77,173.4,297.1525,C10-LAS (TENTATIVE),C16H26O3S,Spectral Library - MoNA,20221,C10-LAS (TENTATIVE)_297.153_0.77_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MoNA,25.9,930.8,-1.787,46452,16052,18277,18650,21463,0,21142,21694,20820,19365,16456,21246,16093,9336,28025,0,45290,18844,16667,9692,0,15762,27226
0.79,184.6,297.15244,C10-LAS (TENTATIVE),C16H26O3S,Spectral Library - MoNA,20220,C10-LAS (TENTATIVE)_297.152_0.79_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MoNA,27.8,936.3,-1.444,298018,101928,115551,197654,188089,68642,176368,165043,166285,192666,137586,207043,166027,123967,329932,181809,406365,225383,113473,82971,135891,180499,196141
0.79,190.2,311.16783,C11-LAS (STANDARD MIX),C17H28O3S,Spectral Library - MoNA,10220,C11-LAS (STANDARD MIX)_311.168_0.79_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MoNA,9.2,709.9,-2.638,97075,48406,95001,130629,73927,28376,234288,221027,222519,0,0,0,0,0,0,220897,0,0,0,0,0,0,223511
0.9,183.3,311.16829,C11-LAS (STANDARD MIX),C17H28O3S,Spectral Library - MoNA,20220,C11-LAS (STANDARD MIX)_311.168_0.9_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MoNA,28.9,703.6,-0.051,285712,86374,73023,150634,151929,62282,95210,94537,94369,242148,159322,170398.6,223091,132629,0,101825,321700,0,174573,121448,168334,231179,115465
0.89,190.2,311.16856,C11-LAS (STANDARD MIX),C17H28O3S,"Spectral Library - MoNA, Spectral Library - MoNA",20220,C11-LAS (STANDARD MIX)_311.169_0.89_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MoNA,18.7,718.3,0.868,420422,94782,94479,188568,226311,63371,111450,111210,104439,452209,267683,464501,371904,209764,799834,115314,939565,520798,280474,181522,254515,420075,143205
5.34,288.2,710.66661,Cer 10:0;2O/33:0,C43H87NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20222,Cer 10:0;2O/33:0_710.667_5.34_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,32.9,713.7,-0.398,15732,13065,15978,16119,14199,13929,79146,78819,80032,43831,73258,63266.6,96520,96736,10159,78946,53786,61894,7397,71353,99514,62273,81485
5.11,289.4,722.66776,Cer 12:0;2O/32:1,C44H87NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20222,Cer 12:0;2O/32:1_722.668_5.11_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,28.9,727,1.406,0,0,0,0,0,1253,887117,812449,852855,773845,701630,617269.4,663880,839634,306048,880565,820283,654299,108251,656682,1109582,851316,896507
4.46,284.4,718.63334,Cer 12:0;2O/32:3,C44H83NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10222,Cer 12:0;2O/32:3_718.633_4.46_[M+HCOOH-H]-_Medium,[M+HCOOH-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,37.3,783.8,-3.003,0,0,0,0,0,0,81636,80599,77209,98624,81870,63459.4,58167,56158,138468,97395,62543,78040,62389,76713,98707,94286,95693
4.63,284.9,718.63354,Cer 12:0;2O/32:3,C44H83NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10222,Cer 12:0;2O/32:3_718.634_4.63_[M+HCOOH-H]-_Medium,[M+HCOOH-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,30.1,719.9,-2.633,0,0,0,0,0,0,899370,952281,981586,1189017,886525,810138,739828,868545,1231069,879738,997706,769004,675607,887958,1109433,977064,1025462
5.34,292.9,748.68163,Cer 12:0;2O/34:2,C46H89NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20222,Cer 12:0;2O/34:2_748.682_5.34_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,33.2,760.2,-1.237,0,0,0,923,0,0,76250,79133,75172,88738,80700,59114.6,64763,85888,43643,82184,84711,49899,10312,66223,102860,93746,88371
