RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.99,280,784.4796,,,,,_784.48_1.99_[M-H]-_,[M-H]-,,0,0,,,,,,2043,0,0,0,1373,0,13933,19706,15793,21008,12470,12966.6,18199,4699,22198,23912,19668,7788,14479,11249,20096,16783,21674
1.99,290.9,833.4969,,,,,_833.497_1.99__,,,0,0,,,,,,0,0,0,0,0,0,34942,36139,32923,52899,28854,33459,29231,29374,0,44430,63991,16340,28359,20365,33508,26431,28996
1.98,261.5,683.43526,,,,,_683.435_1.98__,,,0,0,,,,,,0,7461,5330,2927,4245,4432,63019,66311,79989,37120,22204,19782.2,25572,21678,18220,101528,19882,11158,20621,22526,21136,34521,103711
1.98,268.8,744.44521,,,,,_744.445_1.98_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,20338,29644,23306,38456,21162,24209.4,26509,19709,24516,24605,25601,27077,22151,23010,23164,38844,25170
1.97,230.7,513.37778,,,,,_513.378_1.97__,,,0,0,,,,,,23237,20689,19451,18842,21140,19019,24097,26695,31265,42895,26331,30474.6,31830,33708,23721,27085,35902,23637,27296,27056,34511,31630,30071
1.98,248.4,622.40398,,,,,_622.404_1.98_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,13018,12801,16049,21837,10538,15617.4,14445,15510,16840,15304,18605,13160,16367,12467,10628,14792,18219
1.98,280.3,745.57876,,,,,_745.579_1.98__,,,0,0,,,,,,0,0,0,5485,0,0,280400,247847,233871,264125,218974,261897,152562,326192,439197,270900,439193,205463,186075,224477,241215,218319,258146
1.97,213.1,451.37781,,,,,_451.378_1.97__,,,0,0,,,,,,65955,35342,25196,22957,24505,24559,18818,20957,19206,28382,31603,23231.6,27561,18968,17104,23050,17762,25526,26341,16993,20052,49621,18093
1.97,280.9,735.55538,,,,,_735.555_1.97__,,,0,0,,,,,,0,0,0,0,0,0,20616,19421,29855,17267,23934,21360,15342,15977,41193,25659,45239,15855,14387,24252,30344,22504,21349
1.97,273.5,701.55167,,,,,_701.552_1.97_[M-H]-_,[M-H]-,,0,0,,,,,,0,4761,0,6120,0,0,9536,10123,15791,0,12891,5481.2,0,13721,9697,10014,0,0,13685,14375,18103,9546,8359
1.97,264.5,649.52163,,,,,_649.522_1.97_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,15628,16985,17081,23083,13853,17642.2,17764,12721,33641,16860,29204,12243,16279,14186,21702,15096,17592
1.99,240.1,565.36065,,,,,_565.361_1.99__,,,0,0,,,,,,8869,0,13260,7845,8628,4819,21343,22208,22967,31841,28309,24999.8,28916,29121,18632,28194,20900,20623,25439,32709,25869,21025,24548
