RT [min],m/z meas.,M meas.,Ions,MS/MS,Original annotation,Name,Molecular Formula,Annotations,Annotation Source,AQ,Score,Id confidence,mSigma,MS/MS score,Structure,AQ Details,Blank01,Blank02,Blank03,QC01,QC02,QC03,QC04,23,28,6,13,11,QC05,1,29,15,22,5,QC06,33,10,26,17,9,QC07,25,3,7,27,20,QC08,8,30,2,19,21,QC09,18,31,14,24,32,QC10,12,4,16,QC11
6.07,130.15909,129.15181,[M+H]+,TRUE,Octodrine,Octodrine_130.15909_6.07_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,4.3,609.8,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,0,0,90326,0,0,0,0,0,90616,90304,86850,91002,88012,85534,0,86432,87346,86228,86934,86256,88438,87354,86970,83828,89756,90552,0,89168,88510,87186,86230,85588,86570,84404,85352,88158,87666,90068,87866,86232,87446,90272,89220,86620,86522,88080,86332
6.34,130.1591,129.15183,[M+H]+,TRUE,Octodrine,Octodrine_130.1591_6.34_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,3,630.3,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,110970,113112,109636,122950,122950,118478,112684,114390,113622,108178,115094,115476,117690,107886,111338,112028,110750,111508,113038,104878,116750,113048,115466,109938,113250,119472,118798,118820,112382,116200,115732,118268,108484,108448,114606,112448,108822,111182,112848,111696,112830,110012,115152,116852,110938,113656,111574
6.76,130.1591,129.15182,[M+H]+,TRUE,Octodrine,Octodrine_130.1591_6.76_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,3.8,637.9,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,88118,87180,79442,78638,78638,88326,85796,82618,74354,80262,75146,74566,75938,77040,76012,74590,74254,75474,73310,74898,75454,75108,73716,75864,77064,77506,77848,75902,74808,72138,74568,73420,74816,71530,72248,72132,70576,73436,73834,73490,73174,74072,73386,76184,73206,75256,73628
7.11,130.1591,129.15183,[M+H]+,TRUE,Octodrine,Octodrine_130.1591_7.11_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,3.8,633.5,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,91256,88084,79438,87804,87804,89560,85224,83974,77332,76316,77230,78554,78820,78692,76400,75532,75064,72894,75350,73830,76244,77358,76670,78540,76196,75856,73918,78014,78662,73172,77260,74160,74184,73452,74336,73250,71572,75418,73828,74064,75692,75714,73284,73344,72252,75130,72134
7.43,130.15911,129.15183,[M+H]+,TRUE,Octodrine,Octodrine_130.15911_7.43_[M+H]+_Medium,C8H19N,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,5.9,634.4,"InChI=1S/C8H19N/c1-7(2)5-4-6-8(3)9/h7-8H,4-6,9H2,1-3H3",MS/MS: Library,93838,0,0,89616,89616,85652,81002,87662,73668,74680,75998,76562,74944,74428,71438,75402,71922,75174,72422,72776,73056,75178,74700,0,70974,75364,71534,69284,69520,70532,71570,72000,68864,69950,68600,71588,71288,70968,70636,69596,0,0,0,0,0,0,0
1.07,664.11648,663.10951,[M+H]+,TRUE,Nicotinamide adenine dinucleotide (NAD),Nicotinamide adenine dinucleotide (NAD)_664.11648_1.07_[M+H]+_high,C21H27N7O14P2,"Spectral Library - Nist17_high_merged.msp, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - MoNA, Spectral Library - MSMS_Public_EXP_Pos_VS17.msp, Spectral Library - MoNA",Bruker MetaboBASE Personal Library 3.0,20220,6,high,11.9,981.3,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",MS/MS: Library,1842,962,39174,1222638,1222638,946170,989404,1143992,747378,1205624,1028876,1006896,1088788,925422,821832,1543834,968606,1079544,1106952,816476,1073304,893160,1010736,1287636,895718,1094716,1215292,1125254,1234388,985452,946606,1159962,1032622,987440,956160,874690,1139612,1139250,948784,1312812,1105898,863078,1043284,913004,1057086,988850,990068
1.08,364.06546,363.05809,[M+H]+,TRUE,Guanidylic acid (guanosine monophosphate),Guanidylic acid (guanosine monophosphate)_364.06546_1.08_[M+H]+_high,C10H14N5O8P,"Spectral Library - Nist17_high_merged.msp, Spectral Library - MoNA, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - MoNA, Spectral Library - MoNA",Bruker MetaboBASE Personal Library 3.0,20220,6,high,1.3,998.2,"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",MS/MS: Library,1634,724,51358,1134518,1134518,1328092,1228820,1197592,1233730,1113144,1162376,1311864,1155712,1372916,1365566,1064756,1299476,1110678,1124154,1366994,1142212,1241414,1345882,945050,1293892,1378546,971374,1464560,1067600,1226892,1279748,1041220,1246078,1292196,1325960,1232738,1172204,1217738,1319468,1012282,1463328,1329466,1184522,1257600,1071288,1193838,1283418
2.31,322.10665,321.09938,[M+H]+,TRUE,Glu Cys Ala,Glu Cys Ala_322.10665_2.31_[M+H]+_Medium,C11H19N3O6S,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,7.9,640.2,"InChI=1S/C11H19N3O6S/c1-5(11(19)20)13-10(18)7(4-21)14-9(17)6(12)2-3-8(15)16/h5-7,21H,2-4,12H2,1H3,(H,13,18)(H,14,17)(H,15,16)(H,19,20)/t5-,6-,7-/m0/s1",MS/MS: Library,0,0,0,72172,72172,76716,104510,48024,83558,146074,70912,101162,78286,96042,27230,70398,81778,140034,75246,55898,111702,47578,67678,83996,92706,91892,66554,98698,68320,69810,99632,74994,47226,105656,59848,161932,87292,82424,50062,66910,48878,106700,71436,128014,162752,61556,99510
3.12,786.16439,785.15689,[M+H]+,TRUE,Flavin adenine dinucleotide (FAD),Flavin adenine dinucleotide (FAD)_786.16439_3.12_[M+H]+_high,C27H33N9O15P2,"Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - Bruker MetaboBASE Personal Library 3.0",Bruker MetaboBASE Personal Library 3.0,20220,6,high,17.3,927.6,"InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1",MS/MS: Library,0,0,2004,446802,446802,462550,438376,432406,453234,385736,363962,387958,440492,389870,425046,369506,417284,507248,433436,611148,386850,399762,326140,377808,447060,389664,345212,353522,449072,389378,415362,377088,469058,397508,366668,600842,419490,323408,431966,373250,416920,397602,426254,418622,557918,365950,437526
0.87,104.07068,103.06341,[M+H]+,TRUE,dimethylglycine,dimethylglycine_104.07068_0.87_[M+H]+_high,C4H9NO2,"Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - Nist17_high_merged.msp, Spectral Library - Nist17_high_merged.msp, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MSMS_Public_EXP_Pos_VS17.msp, Spectral Library - MoNA, Spectral Library - Nist17_high_merged.msp, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - MoNA, Spectral Library - Nist17_high_merged.msp, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - Nist17_high_merged.msp, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - MSMS_Public_EXP_Pos_VS17.msp, Spectral Library - MoNA",Bruker MetaboBASE Personal Library 3.0,20220,6,high,3.1,955.2,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)",MS/MS: Library,0,0,0,76782,76782,82742,80918,53144,87030,100700,71022,48388,81046,37950,60606,70608,94808,72108,79098,137422,94366,98622,66216,106894,81638,112914,99416,74614,122722,78332,86308,97192,88966,65188,85480,92946,82266,83398,96384,88194,64222,72600,82808,79170,81000,63578,81910
7.03,391.28424,390.27701,[M+H]+,TRUE,Di(2-ethylhexyl) phthalate,Di(2-ethylhexyl) phthalate_391.28424_7.03_[M+H]+_high,C24H38O4,"Spectral Library - Nist17_high_merged.msp, Spectral Library - MoNA, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - MoNA, Spectral Library - MoNA, Spectral Library - MoNA",Bruker MetaboBASE Personal Library 3.0,20220,6,high,7.9,995.9,,MS/MS: Library,223958,161506,150404,469672,469672,155088,154818,162888,168150,164130,168156,151622,154082,144790,143516,137412,143666,146756,157108,157396,139244,162534,145242,167388,148008,156578,154710,142802,156350,146922,136582,137186,145494,123408,130882,140680,135686,135216,131040,136342,131692,134838,134756,140464,143970,146784,128006
4.24,137.13261,136.12533,[M+H]+,TRUE,Cyclofenchene,Cyclofenchene_137.13261_4.24_[M+H]+_high,C10H16,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Nist17_high_merged.msp, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",Bruker MetaboBASE Personal Library 3.0,20220,6,high,1.7,988,"InChI=1S/C10H16/c1-9(2)6-4-7-8(9)10(7,3)5-6/h6-8H,4-5H2,1-3H3",MS/MS: Library,61692,59118,60136,41168,41168,42264,43946,50310,55832,50808,46038,41120,43476,44912,44530,33608,46742,41194,45392,46688,50188,39352,47702,37150,44082,38838,41406,38046,55008,48850,44614,49842,50514,37922,47156,27872,44330,51938,48786,36210,25442,57654,48302,36548,22942,47656,40124
5.4,277.17961,276.17233,[M+H]+,TRUE,cyclandelate,cyclandelate_277.17961_5.4_[M+H]+_Medium,C17H24O3,Spectral Library - Bruker MetaboBASE Personal Library 3.0,Bruker MetaboBASE Personal Library 3.0,20210,5,Medium,2.7,777.9,"InChI=1S/C17H24O3/c1-12-9-14(11-17(2,3)10-12)20-16(19)15(18)13-7-5-4-6-8-13/h4-8,12,14-15,18H,9-11H2,1-3H3",MS/MS: Library,60196,37858,60448,121444,121444,100434,106278,196972,76308,110912,153678,90224,99894,116572,139614,121618,168662,136380,96040,103632,83016,155342,163548,105264,111728,93538,59410,153026,87968,162358,102414,148760,143352,117004,98066,95142,109136,123748,123116,118218,128120,128520,113404,178994,109578,107486,89610
