RT [min],m/z meas.,M meas.,Ions,MS/MS,Original annotation,Name,Molecular Formula,Annotations,Annotation Source,AQ,Score,Id confidence,mSigma,MS/MS score,Structure,AQ Details,Blank01,Blank02,Blank03,QC01,QC02,QC03,QC04,23,28,6,13,11,QC05,1,29,15,22,5,QC06,33,10,26,17,9,QC07,25,3,7,27,20,QC08,8,30,2,19,21,QC09,18,31,14,24,32,QC10,12,4,16,QC11
4.73,471.34667,470.3394,[M+H]+,FALSE,Glycyrrhetinic Acid,Glycyrrhetinic Acid_471.34667_4.73_[M+H]+_Medium,C30H46O4,Target List - Rikke liver pos for target,Rikke liver pos for target,10112,5,Medium,3.2,,"InChI=1S/C30H46O4/c1-25(2)21-8-11-30(7)23(28(21,5)10-9-22(25)32)20(31)16-18-19-17-27(4,24(33)34)13-12-26(19,3)14-15-29(18,30)6/h16,19,21-23,32H,8-15,17H2,1-7H3,(H,33,34)",,0,0,0,30404,30404,29832,29914,40308,56180,29758,34658,26450,29190,58272,59726,31874,26956,54216,29546,14724,43170,34978,68670,8534,27920,8266,9724,9156,73388,20870,27824,3120,63786,24680,26300,42432,28328,73910,34556,4008,57886,10912,26750,22060,27374,7394,27510
4.81,466.31638,465.3091,[M+H]+,FALSE,Glycocholic Acid,Glycocholic Acid_466.31638_4.81_[M+H]+_high,C26H43NO6,Target List - Rikke liver pos for target,Rikke liver pos for target,20220,6,high,6.6,,"InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)",,0,0,252,22874,22874,24524,22360,10720,6054,5572,21324,47860,23432,42150,22476,22332,14104,20740,26654,31762,8950,46876,13408,11006,26806,16026,44532,10932,13188,24182,24358,37070,13578,22552,15716,16892,22458,7780,6302,24926,126502,11164,24360,11998,93496,14082,24268
0.79,280.09227,279.08499,[M+H]+,FALSE,Glycerophosphocholine,Glycerophosphocholine_280.09227_0.79_[M+H]+_high,C8H20NO6P,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,9.9,,"InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/t8-/m1/s1",,1978,1710,21144,19186,19186,16844,19830,23900,5610,13304,15496,16766,19568,33864,2898,14534,18204,28930,14706,3234,13962,3502,7314,19402,17900,10052,32338,25180,6458,12574,20046,12086,4950,15300,7994,54362,16206,4462,5750,22404,35090,2220,17616,39448,56126,13554,16216
1.17,330.07322,329.06594,[M+H]+,FALSE,Glutathione,Glutathione_330.07322_1.17_[M+H]+_high,C10H17N3O6S,Target List - Rikke liver pos for target,Rikke liver pos for target,10222,7,high,25.9,,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)",,552,0,0,24504,24504,35356,35256,33626,31490,33350,39228,41128,39594,24582,39894,0,27760,32946,35480,36424,41088,35868,33300,31072,34124,39210,49784,0,34072,34818,38250,27892,37272,41458,45102,29956,33278,1524,44358,31976,33948,1442,43954,30024,29478,36712,36830
1.14,613.15947,612.15219,[M+H]+,FALSE,"Glutathione, oxidized","Glutathione, oxidized_613.15947_1.14_[M+H]+_Medium",C20H32N6O12S2,Target List - Rikke liver pos for target,Rikke liver pos for target,10220,5,Medium,16.6,,"InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1",,0,0,0,55480,55480,52876,54530,55266,39684,62040,52364,42414,48498,42998,33620,42456,55746,59810,46950,30168,57018,39606,53582,56218,52532,48972,65796,59010,42196,50980,48500,50390,39324,45252,50902,65944,50240,45446,30110,38404,53968,24876,47382,46452,53588,51500,51362
1.36,635.14111,634.13384,[M+H]+,FALSE,"Glutathione, oxidized","Glutathione, oxidized_635.14111_1.36_[M+H]+_Medium",C20H32N6O12S2,Target List - Rikke liver pos for target,Rikke liver pos for target,10220,5,Medium,4.4,,"InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1",,1326,0,16064,13478,13478,17584,18702,17236,20168,19414,19682,17594,16664,15876,19878,16108,18696,16110,18238,16140,18898,17592,16166,17526,17964,20208,21030,19468,20012,16254,16908,18860,17024,19820,20844,13162,17206,18302,19068,16906,18518,21108,19782,18428,15884,19466,18304
2.91,394.12793,393.12065,[M+H]+,FALSE,Glutamyl-S-(C4H7O2)-cysteinylglycine,Glutamyl-S-(C4H7O2)-cysteinylglycine_394.12793_2.91_[M+H]+_high,C14H23N3O8S,Target List - Rikke liver pos for target,Rikke liver pos for target,20212,7,high,26.1,,"InChI=1S/C14H23N3O8S/c1-7(13(22)23)5-26-6-9(12(21)16-4-11(19)20)17-10(18)3-2-8(15)14(24)25/h7-9H,2-6,15H2,1H3,(H,16,21)(H,17,18)(H,19,20)(H,22,23)(H,24,25)",,0,0,498,39542,39542,43186,41526,36768,24792,34896,50904,44498,43214,49920,33050,46920,40282,92914,39186,26860,33696,23068,33870,42614,42994,38618,22770,45490,17284,43452,41164,36556,28286,59066,26384,77234,43422,44770,39204,37820,25830,14262,40694,56618,70472,28910,40692
2.82,269.11079,268.10351,[M+H]+,FALSE,Glu Val,Glu Val_269.11079_2.82_[M+H]+_high,C10H18N2O5,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,13.4,,"InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-9(15)6(11)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1",,0,0,0,13484,13484,14704,14622,16268,6648,14742,13644,16416,13090,19808,9064,12996,13932,13512,12926,2990,14984,10462,15492,17798,13030,14098,10340,19824,9236,15760,13562,13852,13628,18114,13010,16818,15042,22162,9494,18716,12764,8808,16012,20926,12018,14464,18136
2.72,401.2144,400.20712,[M+H]+,FALSE,Glu Pro Arg,Glu Pro Arg_401.2144_2.72_[M+H]+_high,C16H28N6O6,Target List - Rikke liver pos for target,Rikke liver pos for target,20212,7,high,3.5,,"InChI=1S/C16H28N6O6/c17-9(5-6-12(23)24)14(26)22-8-2-4-11(22)13(25)21-10(15(27)28)3-1-7-20-16(18)19/h9-11H,1-8,17H2,(H,21,25)(H,23,24)(H,27,28)(H4,18,19,20)/t9-,10-,11-/m0/s1",,0,0,0,52152,52152,48398,45478,55676,49924,39956,43608,31282,48306,58792,42394,39684,43492,72790,51348,50542,40360,35408,34034,51002,44586,27162,39588,41104,33832,43736,41998,39118,48276,52342,43664,108506,45840,35298,44186,39158,52790,27868,50436,53168,93108,36408,46334
1.27,366.09667,365.0894,[M+H]+,FALSE,Glu Cys Asp,Glu Cys Asp_366.09667_1.27_[M+H]+_high,C12H19N3O8S,Target List - Rikke liver pos for target,Rikke liver pos for target,20212,7,high,6.6,,"InChI=1S/C12H19N3O8S/c13-5(1-2-8(16)17)10(20)15-7(4-24)11(21)14-6(12(22)23)3-9(18)19/h5-7,24H,1-4,13H2,(H,14,21)(H,15,20)(H,16,17)(H,18,19)(H,22,23)/t5-,6-,7-/m0/s1",,0,0,354,31680,31680,34598,32302,26340,20518,36932,51420,31484,31462,53836,15688,41532,31502,38344,32860,21828,30086,22062,29368,36822,32798,24484,28738,41076,20750,32358,34364,28134,29948,43378,23768,39408,32554,30564,25350,40890,26524,26060,35332,40100,115862,27250,34158
2.93,366.09659,365.08934,[M+H]+,FALSE,Glu Cys Asp,Glu Cys Asp_366.09659_2.93_[M+H]+_high,C12H19N3O8S,Target List - Rikke liver pos for target,Rikke liver pos for target,20212,7,high,9.9,,"InChI=1S/C12H19N3O8S/c13-5(1-2-8(16)17)10(20)15-7(4-24)11(21)14-6(12(22)23)3-9(18)19/h5-7,24H,1-4,13H2,(H,14,21)(H,15,20)(H,16,17)(H,18,19)(H,22,23)/t5-,6-,7-/m0/s1",,1436,1120,39904,3783634,3783634,3796950,3707362,3910500,3267882,3874256,3853492,3546876,3678064,4017740,2734908,3584566,3819952,4150212,3610300,3295884,3906108,3253850,3540486,3809358,3690070,3852916,3579042,3824852,3076812,3614136,3718356,3723286,3229270,3911574,3394616,3900992,3694406,3642968,3143314,3532510,3510586,3155940,3652888,3799264,4247434,3368736,3677318
3.47,388.25407,387.24684,[M+H]+,TRUE,Gln-Leu-Lys,Gln-Leu-Lys_388.25407_3.47_[M+H]+_Medium,C17H33N5O5,Target List - Rikke liver pos for target,Rikke liver pos for target,10210,4,Medium,10,,,,599384,597396,586354,690480,690480,671466,672212,660384,705488,661612,686128,734158,669680,657058,674914,710588,683894,648556,671124,707530,660038,649944,718924,679472,657864,669210,645572,656704,690632,666374,660302,685166,669332,660016,714816,617346,661650,649662,651728,682598,635106,634534,569432,556150,639374,635942,639900
0.88,162.07617,161.06886,[M+H]+,FALSE,DL-2-Aminoadipic acid,DL-2-Aminoadipic acid_162.07617_0.88_[M+H]+_high,C6H11NO4,Target List - Rikke liver pos for target,Rikke liver pos for target,20022,6,high,0.6,,"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)",,1818,660,31064,376930,376930,431616,423110,395142,460928,370008,306510,154410,439160,178330,176906,496272,582822,315624,423198,603676,748980,388258,248772,607026,427418,320214,755840,369790,400148,264144,437270,576836,282932,283984,332766,659248,438950,461434,439762,434604,415846,799336,439332,651296,304152,332496,436772
6.8,251.04691,250.03963,[M+H]+,FALSE,Diphenyl phosphate,Diphenyl phosphate_251.04691_6.8_[M+H]+_high,C12H11O4P,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,2.2,,"InChI=1S/C12H11O4P/c13-17(14,15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,(H,13,14)",,70994,66688,63162,70926,70926,70852,72276,70700,67458,70436,72402,74266,68128,70010,67522,78566,70624,65776,70428,75286,74124,71230,72608,76722,71120,71998,71262,71232,70376,77384,75836,74502,73904,70168,73082,71132,74812,76132,70862,77398,70722,98744,69894,72122,73032,73302,67658
8,178.12272,177.11545,[M+H]+,FALSE,DEP,DEP_178.12272_8_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,5.8,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,17362,17696,16872,17806,17806,23540,22676,20370,20736,20004,21078,18834,18498,19290,19534,19076,20592,20354,22078,22406,19362,19364,20286,20254,20346,20132,21332,21126,19652,19222,22554,21142,21096,22978,20316,20326,20766,20620,21206,20356,19996,19858,19616,19502,20816,20378,19114
1.48,178.12273,177.11545,[M+H]+,FALSE,DEP,DEP_178.12273_1.48_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,5.6,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,0,0,0,66526,66526,57510,61068,65600,61952,62776,61070,59688,58710,57204,64590,53046,56548,51976,58242,52440,59766,63876,63170,58034,55472,64204,61448,55052,66068,65026,59824,57010,63694,59318,62370,48416,57926,65946,62038,62444,59002,63430,58004,56884,55816,68418,61546
1.71,178.12272,177.11544,[M+H]+,FALSE,DEP,DEP_178.12272_1.71_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,6,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,0,0,0,58866,58866,51814,57410,54504,56936,57828,53772,55812,55486,54300,60460,57428,54082,52794,56146,54564,59240,57902,65926,55088,59322,59836,61814,63000,60036,56582,57934,57232,59736,63612,63518,55502,56252,60724,60262,58200,59052,64558,61044,62106,57558,59810,61702
3.06,178.12272,177.11544,[M+H]+,FALSE,DEP,DEP_178.12272_3.06_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,5.1,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,190218,185480,184068,54638,54638,57052,59404,62354,65638,61174,61470,64610,56940,58680,64686,56752,59558,55130,56010,49596,59166,61988,62366,52860,58658,73400,62372,54376,65542,65202,55114,63304,69608,55514,59388,42040,58394,61954,62810,63750,78956,59386,54950,56240,47472,60018,57600
3.44,178.12271,177.11544,[M+H]+,FALSE,DEP,DEP_178.12271_3.44_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,1.8,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,98592,101380,99406,42862,42862,45602,48142,49070,51034,48152,51374,51876,45742,48198,46658,44476,44736,39132,47478,38056,43934,47626,52724,45830,43216,50620,52194,46960,48266,47952,47666,49628,49124,49496,47246,39754,45730,48152,51200,49668,52462,37872,43648,42652,37548,52204,46188
3.56,178.12271,177.11544,[M+H]+,FALSE,DEP,DEP_178.12271_3.56_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,0.3,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,93796,97004,98776,46512,46512,48688,41838,52274,48364,49584,47114,45436,48398,49774,46686,44652,44846,41072,50210,39938,47344,46794,52816,49558,46906,54914,54140,47300,49686,48372,47694,50490,51082,43526,46868,36978,48274,50060,50124,46820,52842,44634,49300,44184,40336,49366,49104
3.62,178.12272,177.11545,[M+H]+,FALSE,DEP,DEP_178.12272_3.62_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,10.4,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,0,0,95648,39404,39404,39578,39344,0,41830,42258,40068,38960,38824,37496,0,38652,45584,36466,36694,0,39802,0,0,32372,37794,0,0,40438,41816,40394,0,0,44326,41884,39290,31800,41074,38498,0,35418,0,41360,38860,0,37004,42132,40490
5.46,178.12272,177.11544,[M+H]+,FALSE,DEP,DEP_178.12272_5.46_[M+H]+_high,C11H15NO,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,6.4,,"InChI=1S/C11H15NO/c1-10(12(2)9-13)8-11-6-4-3-5-7-11/h3-7,9-10H,8H2,1-2H3",,78534,80996,78754,78170,78170,79030,78880,80292,80534,79692,81868,82480,79206,79096,79014,78066,79754,77894,0,82014,78710,78234,81194,80790,82280,81828,82236,80688,84056,82970,82814,83012,81940,81820,84598,80688,82138,79964,84314,84728,84606,81970,82354,80074,81592,80526,82972
4.98,343.29559,342.28823,[M+H]+,TRUE,CocamidopropylBetaine,CocamidopropylBetaine_343.29559_4.98_[M+H]+_high,C19H38N2O3,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,2,,"InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)",,312984,321368,304814,394010,394010,404422,398590,377002,337072,347812,380574,393318,373006,379720,370280,486960,382478,388534,399480,365084,364522,795726,381968,386524,393880,411330,376634,365820,374706,388468,380330,370998,376480,380080,379410,391200,383130,364494,374326,359174,428976,366096,370698,365124,400494,369720,378052
5.62,284.33116,283.32388,[M+H]+,TRUE,CETRIMONIUM,CETRIMONIUM_284.33116_5.62_[M+H]+_high,C19H41N,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,0.4,,"InChI=1S/C19H41N/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4/h2,5-19H2,1,3-4H3",,69186,73212,75442,87466,87466,85900,86234,97858,87248,88106,91348,94184,90138,94516,94380,97748,102588,97834,96422,93792,100638,91844,100490,121448,94628,96892,98224,101882,103850,106146,103120,104748,106176,104046,113900,110232,108144,111064,112448,107254,112536,107188,114124,117496,109778,117234,113326
1.69,140.06835,139.06107,[M+H]+,TRUE,betaine,betaine_140.06835_1.69_[M+H]+_high,C5H11NO2,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,3.9,,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",,56694,56000,62450,0,0,38302,38222,36726,38844,0,0,39020,38706,38022,43206,36072,38166,33444,38886,43784,37870,45282,44976,0,44338,42958,0,46404,47034,43098,41910,44376,47734,42424,41130,36462,0,48380,46382,44846,46140,44906,42788,43250,36912,0,47682
1.7,118.08639,117.07912,[M+H]+,TRUE,betaine,betaine_118.08639_1.7_[M+H]+_high,C5H11NO2,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,4.5,,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",,33336,33918,0,49050,49050,49900,49500,49632,47918,48138,48174,50840,47044,49364,51190,47836,51782,48762,49432,54506,48812,55592,51638,49932,57274,49020,51788,52372,53512,52340,50738,52580,53904,48896,49822,0,52274,52536,52760,54472,54134,51786,49730,54432,48710,53680,51148
1.77,290.0859,289.07862,[M+H]+,TRUE,ADENOSINE,ADENOSINE_290.0859_1.77_[M+H]+_high,C10H13N5O4,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,6.4,,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)",,0,0,1190,43424,43424,77160,93104,49170,82828,55002,58236,87814,55264,63330,108252,54754,64564,86320,58262,119344,58804,73484,66184,43890,65738,60198,69332,84212,54932,59168,81522,62762,70282,73494,67254,68310,66946,55258,76494,49626,39666,88646,72050,89378,78344,62672,81786
1.11,508.0033,506.99603,[M+H]+,FALSE,Adenosine triphosphate (ATP),Adenosine triphosphate (ATP)_508.0033_1.11_[M+H]+_high,C10H16N5O13P3,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,5.4,,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,0,0,0,12904,12904,14162,14116,15658,9440,6096,27284,23692,15208,9132,6590,16522,17902,16510,15768,6128,25308,8458,15032,19766,16206,11000,30932,13258,7094,11436,18020,27744,7562,6658,13734,12704,16770,14728,8602,32040,17578,11460,17862,28582,16292,7546,16510
0.97,428.0368,427.02952,[M+H]+,FALSE,Adenosine 5-diphosphate,Adenosine 5-diphosphate_428.0368_0.97_[M+H]+_high,C10H15N5O10P2,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,4.1,,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)",,0,0,0,43722,43722,40850,39072,43208,42156,39640,35102,36244,39088,34940,39114,33124,39226,39504,34920,35288,36816,31766,34402,30588,33866,37250,34678,31684,32836,31818,31286,28306,30516,31004,35482,32414,31126,32396,33156,29698,35668,34234,31218,28838,33314,27536,29254
1.09,428.03685,427.02957,[M+H]+,FALSE,Adenosine 5-diphosphate,Adenosine 5-diphosphate_428.03685_1.09_[M+H]+_high,C10H15N5O10P2,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,3,,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)",,802,488,1676,24248,24248,18050,17744,18374,14974,20066,19246,17512,19136,14980,16088,22200,15654,19310,17728,13962,17690,15196,15078,20986,14680,17164,18870,15908,17248,16512,14360,16922,13292,15156,16158,13958,16084,16628,13486,20604,13998,15570,15890,14672,17324,14700,14202
1.17,204.12311,203.11583,[M+H]+,FALSE,Acetyl-L-Carnitine,Acetyl-L-Carnitine_204.12311_1.17_[M+H]+_high,C9H17NO4,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,2.9,,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3",,43990,14764,749840,5025980,5025980,4728184,4946556,4903528,4798978,4974864,4544648,4753422,4992650,4739536,4613796,4121576,4796124,5069096,5042514,4964516,5003640,4254540,4906084,4617090,4845858,4764670,5005290,5128262,4520180,4131524,4848454,4914934,4213482,4975220,4913218,5261902,4930880,4344344,4775158,4619008,4863234,4390510,4999062,5039276,4906678,4392420,4917380
4.25,538.28042,537.27315,[M+H]+,TRUE,?-Tauromuricholic acid,?-Tauromuricholic acid_538.28042_4.25_[M+H]+_high,C26H45NO7S,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,16.8,,"InChI=1S/C26H45NO7S/c1-15(4-7-21(29)27-12-13-35(32,33)34)17-5-6-18-22-19(9-11-25(17,18)2)26(3)10-8-16(28)14-20(26)23(30)24(22)31/h15-20,22-24,28,30-31H,4-14H2,1-3H3,(H,27,29)(H,32,33,34)",,0,0,568,104740,104740,110258,102820,82652,81774,86820,107508,94224,100094,78728,105578,81420,93648,59908,96784,99414,92832,112872,99342,72204,86748,111406,85724,63390,93776,93704,95952,101132,63284,71066,97038,91428,89020,93084,55734,65658,115562,83496,98562,72538,90510,78660,90448
2.91,460.19377,459.1865,[M+H]+,FALSE,5-Methyl-THF,5-Methyl-THF_460.19377_2.91_[M+H]+_high,C20H25N7O6,Target List - Rikke liver pos for target,Rikke liver pos for target,20221,7,high,10.6,,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12-,13-/m0/s1",,0,0,0,20038,20038,21732,21020,24422,8344,18918,26278,24622,20024,20858,31146,17044,17840,34200,19896,11932,12848,12862,19248,17040,20454,24686,8122,15016,10626,27038,19066,10878,24702,18440,17090,45448,20476,16836,18718,14688,16940,8004,20212,24580,42136,17466,19120
3.23,290.15983,289.15255,[M+H]+,FALSE,3-Methylglutarylcarnitine,3-Methylglutarylcarnitine_290.15983_3.23_[M+H]+_high,C13H23NO6,Target List - Rikke liver pos for target,Rikke liver pos for target,20212,7,high,7.3,,"InChI=1S/C13H23NO6/c1-9(5-11(15)16)6-13(19)20-10(7-12(17)18)8-14(2,3)4/h9-10H,5-8H2,1-4H3,(H-,15,16,17,18)",,0,0,0,470214,470214,470516,454138,724572,172190,676004,907044,519552,461482,277878,18992,250514,221348,67824,474974,293304,952170,25040,830422,398058,486296,185158,122492,2034232,163052,122600,495324,452072,92648,661924,194944,876838,468266,543814,223692,218550,69482,374108,497726,164342,344068,724484,476312
1.43,248.1493,247.14202,[M+H]+,FALSE,3-Hydroxybutyrylcarnitine,3-Hydroxybutyrylcarnitine_248.1493_1.43_[M+H]+_Medium,C11H21NO5,Target List - Rikke liver pos for target,Rikke liver pos for target,10220,5,Medium,2.2,,,,286,0,8538,1374422,1374422,1173524,1335344,1233898,1334804,1243788,1226456,1232572,1302136,919040,1143618,1218312,1157786,1798986,1292618,1839132,1245314,694904,837096,864462,1137380,1385636,740766,990764,1032250,932604,1181472,1298836,928062,1635424,946466,1765284,1304278,701152,1412486,872520,799788,757470,1321216,1290676,1140904,737814,1169334
3.42,246.16999,245.16272,[M+H]+,FALSE,2-Methylbutyroylcarnitine,2-Methylbutyroylcarnitine_246.16999_3.42_[M+H]+_high,C12H23NO4,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,3.2,,"InChI=1S/C12H23NO4/c1-9(2)6-12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3",,1628,1246,13870,170386,170386,178450,167052,77114,136332,170134,154324,118750,172170,147388,89648,193836,198390,92258,161374,362704,141318,254848,164780,193606,173334,102538,303590,225814,188208,89796,167868,191884,124694,99526,172154,244860,175442,158000,144810,147562,140772,222140,141162,188990,125530,188768,171046
10.77,194.11756,193.11028,[M+H]+,FALSE,2-Methyl-N-(4-Methylphenyl)alanine,2-Methyl-N-(4-Methylphenyl)alanine_194.11756_10.77_[M+H]+_Medium,C11H15NO2,Target List - Rikke liver pos for target,Rikke liver pos for target,20210,5,Medium,16.5,,,,30254,28312,26070,31032,31032,26790,27944,30360,30602,27806,26904,31446,29014,26064,26670,29676,29032,26952,27036,29108,28468,26326,25882,27980,29112,29718,27628,29430,28766,26906,28228,30526,29876,28678,29280,30534,29200,27266,27716,30080,29394,28454,28654,31364,29670,28364,26788
1.01,370.05245,369.04518,[M+H]+,TRUE,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE_370.05245_1.01_[M+H]+_high,C10H14N5O7P,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,5.6,,"InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)",,2928,1242,56280,41630,41630,80914,77206,78726,83704,84170,70630,83062,72660,37900,80704,57130,81208,69218,71526,79238,47010,73472,82854,62298,78776,79982,73576,89958,79624,83586,85122,45796,84716,83800,76370,61334,76078,85982,83164,61444,76664,84574,73850,82976,65744,76940,82708
4.98,391.28449,390.27709,[M+H]+,FALSE,"(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid","(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid_391.28449_4.98_[M+H]+_high",C24H38O4,Target List - Rikke liver pos for target,Rikke liver pos for target,20222,8,high,6,,"InChI=1S/C24H38O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-20,25H,4-13H2,1-3H3,(H,27,28)",,0,0,1182,35552,35552,36136,37160,8144,9908,7816,0,0,34226,21928,20598,11518,0,10024,35058,29636,7440,43822,15724,11750,32786,201056,12008,8428,0,0,32068,15870,0,14122,55560,33628,32564,24438,0,0,306764,14618,31784,20196,219012,30300,33418
