RT [min],CCS,delta CCS,m/z meas.,M meas.,AllIons,Ion,MS2 annotated,MS/MS,Name,Original annotation,Molecular Formula,Annotations,AQ,Annotation Source,Structure,MS/MS score,[ppm],mSigma,AQ Details,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,Blank01,Blank02,Blank03,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19
4.41,287.3,1.8,726.62445,681.62624,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 11:0;3O/31:1;(2OH)_[M+HCOO]-_MS2_726.62445_4.41,Cer 11:0;3O/31:1;(2OH),C42H83NO5,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20111,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C42H83NO5/c1-3-5-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-36-40(46)42(48)43-38(37-44)41(47)39(45)35-33-31-8-6-4-2/h19-20,38-41,44-47H,3-18,21-37H2,1-2H3,(H,43,48)",894.2,-1.264,107.2,MS/MS: Library,152888,122179,170800,120809,210534,180254,,159897,142612,175846,175912,144290,166450,148862,152793,163195,125688,148548,133484,119577,181017,131169,136773,157535,202451,169327,180313,121548,95582,222324,152758,150103,156434,137551,150275,100539,157238,158933,133147,77540,152702,141945,113916,141751,152577,157310,131089,120016,177577,161025,128315,207909,197351,128237,150901,153753,151982,102762,141965,192408,130081,163907,210024,195816,183126,149211,99506,145181,150409,149008,141958,204085,118826,156224,179880,125501,131988,122709,166288,157256,198108,136956,116436,151849,189197,0,0,0,149876,126019,133208,120262,99656,102759,171176,140037,107031,150978,162021,166086,122714,133908,117314,168811,153292,165296,165296
6.25,354.5,3,1082.96838,1037.97018,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 14:0;2O/36:2;O(FA 18:2)_[M+HCOO]-_MS2_1082.96838_6.25,Cer 14:0;2O/36:2;O(FA 18:2),C68H127NO5,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20211,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C68H127NO5/c1-3-5-7-9-11-13-14-15-35-39-42-46-50-54-58-62-68(73)74-63-59-55-51-47-43-40-37-34-32-30-28-26-24-22-20-18-16-17-19-21-23-25-27-29-31-33-36-38-41-45-49-53-57-61-67(72)69-65(64-70)66(71)60-56-52-48-44-12-10-8-6-4-2/h11,13,15,20,22,26,28,35,65-66,70-71H,3-10,12,14,16-19,21,23-25,27,29-34,36-64H2,1-2H3,(H,69,72)",821.7,-1.151,13.5,MS/MS: Library,2726,29807,3107,20571,20065,2561,,3659,5056,13162,19511,3690,6750,9623,13760,3115,6147,4477,2706,,8996,12028,6471,3844,3275,20499,5601,54161,3673,,42325,25479,3572,16180,25604,8712,3312,3086,11937,10279,94763,8978,4658,24029,8642,12383,14767,6352,4509,13774,2830,3897,12244,2721,156154,3233,8030,3295,9682,5665,14163,7519,19319,8304,4035,17043,3529,5281,10345,3553,31867,,5246,19745,2755,115320,1560,7610,22469,21865,17490,5207,,5294,531808,0,0,0,17628,17025,16082,16972,16502,17466,16214,18114,17149,0,16878,18180,18725,18703,18800,18587,18173,18213,18213
7.98,292.2,4.1,710.62838,665.63018,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 14:1;2O/28:0;(2OH)_[M+HCOO]-_MS2_710.62838_7.98,Cer 14:1;2O/28:0;(2OH),C42H83NO4,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10111,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C42H83NO4/c1-3-5-7-9-11-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-31-33-35-37-41(46)42(47)43-39(38-44)40(45)36-34-32-30-28-12-10-8-6-4-2/h34,36,39-41,44-46H,3-33,35,37-38H2,1-2H3,(H,43,47)",812.3,-2.855,75.4,MS/MS: Library,51008,36982,16969,14555,18825,14603,17568,21793,25363,17212,18749,24898,33412,36698,35005,141241,31710,,31913,31086,10657,58479,20615,25120,36331,17356,35463,87357,,21115,26737,,18700,37014,35027,29568,29217,25578,21207,38934,43398,24156,29752,49081,60590,34290,26027,22445,12185,48606,27397,14899,12333,17905,52444,28094,31930,34171,36254,59543,25793,23411,21040,50110,33119,20576,78511,56669,27418,34861,28631,34485,15466,44163,75068,98583,50345,41968,30980,25055,39384,,52650,,44309,0,0,0,25947,9597,22580,20504,27057,29549,31599,24274,28165,34884,33393,38512,39069,40990,34824,38494,37436,44706,44706
5.03,278.9,1.4,680.61988,635.62134,"[M+HCOOH-H]-, [M+HCOOH-H]-, [M+Cl]-, [M+Cl]-",[M+HCOOH-H]-,MS2,TRUE,Cer 15:0;2O/26:1_[M+HCOOH-H]-_MS2_680.61988_5.03,Cer 15:0;2O/26:1,C41H81NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20211,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C41H81NO3/c1-3-5-7-9-11-13-15-16-17-18-19-20-21-22-23-24-25-26-27-29-31-33-35-37-41(45)42-39(38-43)40(44)36-34-32-30-28-14-12-10-8-6-4-2/h18-19,39-40,43-44H,3-17,20-38H2,1-2H3,(H,42,45)",757.6,0.046,7.4,MS/MS: Library,1044611,1636269,1280357,1284672,1065815,1681679,1692128,985836,890977,1355627,1412602,1186072,1416579,1006353,906505,1092591,776552,1185130,1114764,943312,1316622,888195,1279734,1000626,1352606,1301429,720792,1255129,771055,1069650,1708012,1501572,682307,950644,1481883,1360923,1610697,908567,1448131,798798,1374168,1602235,950140,1074127,1580565,936226,976764,1397190,1167625,1332201,542437,1499979,1273637,965452,1365819,822411,882422,1014897,3032742,1128930,888902,1013045,765331,895218,1273803,769512,717579,855793,934844,693771,1323180,1092767,1072104,948418,1175851,705469,670938,1024501,1023940,1539854,1228395,1056348,943347,1093873,687023,3053,0,2933,773651,778796,751108,779717,774774,778354,873054,808858,817159,788840,811266,764449,772939,789141,805639,823498,834479,816085,816085
4.51,308.8,0.9,880.68467,835.68647,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 15:2;2O/42:11_[M+HCOO]-_MS2_880.68467_4.51,Cer 15:2;2O/42:11,C57H89NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10112,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C57H89NO3/c1-3-5-7-9-11-13-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-47-49-51-53-57(61)58-55(54-59)56(60)52-50-48-46-44-14-12-10-8-6-4-2/h5,7,11,13-14,16-17,19-20,22-23,25-26,28-29,31-32,34-35,37-38,40-41,44,50,52,55-56,59-60H,3-4,6,8-10,12,15,18,21,24,27,30,33,36,39,42-43,45-49,51,53-54H2,1-2H3,(H,58,61)",721.4,2.731,146,MS/MS: Library,160494,97394,82738,212687,146278,140741,,185867,103286,80709,127936,106609,127710,151938,166810,166035,148060,145156,102049,,105035,90451,132789,141906,96741,127173,152249,130045,88504,,142985,139950,179243,164778,136031,93076,125350,148553,135301,91083,133953,118980,98742,128128,119982,138121,121500,123212,141176,125659,123728,112365,158356,211572,116662,154830,133565,166429,135073,83351,148854,118269,80978,137322,139585,218329,126179,143748,106782,132245,82480,83065,108118,126612,92866,172550,77281,204017,214302,143229,142277,151045,92959,122099,150161,0,0,0,84790,98225,87727,97498,102937,85892,110357,96891,118433,97088,106525,105621,108031,100217,107893,119030,97913,113740,113740
2.28,275.9,1.2,666.60323,621.60502,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 16:0;2O/24:1_[M+HCOO]-_MS2_666.60323_2.28,Cer 16:0;2O/24:1,C40H79NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20111,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C40H79NO3/c1-3-5-7-9-11-13-15-16-17-18-19-20-21-22-23-24-26-28-30-32-34-36-40(44)41-38(37-42)39(43)35-33-31-29-27-25-14-12-10-8-6-4-2/h18-19,38-39,42-43H,3-17,20-37H2,1-2H3,(H,41,44)",774.1,-1.457,67.6,MS/MS: Library,45088,73223,38480,42293,52995,48538,56370,53733,61209,46783,39325,38941,53873,40566,89375,,58028,64919,61846,48320,57970,45283,53348,52419,46427,53470,53023,56569,44925,51098,52017,46745,37427,40658,40249,55622,56859,53185,43255,67534,44146,48341,64053,50034,37767,35545,43852,55559,38920,49979,51557,55568,44274,51295,53079,40995,42836,42305,,48675,48195,52091,53679,51100,54802,48312,54954,47419,50373,47817,42261,51833,40731,51367,39703,58125,43482,62108,41927,60520,42535,48646,47640,55752,42607,0,0,0,43681,44551,47955,47072,41127,49665,47027,49992,54277,61861,45275,46681,49975,52782,49055,44208,43464,49063,49063
4.08,256.5,-0.1,582.51189,537.51369,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 18:0;2O/16:1_[M+HCOO]-_MS2_582.51189_4.08,Cer 18:0;2O/16:1,C34H67NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10012,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C34H67NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,32-33,36-37H,3-13,15,17-31H2,1-2H3,(H,35,38)",810.2,2.731,?,MS/MS: Library,38507,46578,57122,30213,41387,,86442,39755,35159,42337,26584,31194,36805,48140,30921,35294,,,30748,29428,,33621,44228,,28706,,,27082,31015,28204,45923,,27042,16124,34524,55119,42472,26171,,42173,47739,50622,27459,,47888,,38689,41010,39985,48912,26607,46664,52438,38649,,37511,27852,41681,37355,29124,21491,34425,,34218,,41790,29882,30359,36562,30999,46074,31895,54039,41517,20508,19701,,24210,37845,,,38459,54188,40316,34405,0,0,0,51912,43689,42000,41132,0,26083,34786,43143,41773,26849,0,36135,35977,32495,33902,0,28426,49031,49031
3.32,255.2,0.3,580.49404,535.49583,[M+HCOO]-,[M+HCOO]-,MS2,TRUE,Cer 18:0;2O/16:2_[M+HCOO]-_MS2_580.49404_3.32,Cer 18:0;2O/16:2,C34H65NO3,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",20112,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,"InChI=1S/C34H65NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h8,10,14,16,32-33,36-37H,3-7,9,11-13,15,17-31H2,1-2H3,(H,35,38)",810.2,-1.058,51,MS/MS: Library,324395,331897,311465,244568,298603,230083,382385,201805,277910,344196,245763,295239,290099,326336,278569,305064,290802,267498,257901,272896,312948,275551,242547,214918,290859,258403,345700,287358,325333,338347,338409,302954,202521,239895,263435,373359,343760,209744,229692,289220,388421,348228,276600,194082,417421,264452,290838,196745,593654,300730,253076,297104,332160,247939,418926,334054,382827,275422,437725,392126,256977,236529,507944,283211,246058,224668,312207,216786,360396,188461,301651,303976,307075,320531,289519,297141,395171,213041,296414,324834,326656,220760,332531,265075,280227,0,0,0,310105,263637,329922,271747,339863,293882,273421,296433,288294,280361,258731,269982,310789,283273,312584,317620,321265,374041,374041
